Farther_vals,Closer_vals
-0.223563289136485,0.355983101940683
-0.107032550153714,0.054243532689398
-0.187093959127094,0.143664168752202
-0.110472831038488,0.122475704647188
-0.170005672682153,0.108701888699935
-0.0897348120815787,0.318338279837659
-0.327648779065676,0.201390848874134
-0.108736439148749,0.130210445589238
-0.0934211111814913,0.134891011448243
-0.0674530708192785,0.0942947781157139
-0.614511104973594,0.352058978618361
-0.206060749603916,0.163687280164443
-0.101391508036697,0.0819223763863838
-0.148332218632156,0.0569760213897641
-0.0483999937660837,0.00266470251585136
-0.227427351201447,0.125877037411073
-0.364095601026734,0.272784119992379
-0.354166675673595,0.295035440593962
-0.188014561813592,0.120542502920664
-0.0580727905566576,0.133474582790445
-0.270354179646767,0.26301125210776
-0.319763320179073,0.270360683744226
-0.225847036352086,0.228205314580907
-0.410270303751946,0.26025000352993
-0.298287448045188,0.174557259939383